Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
11,True,2020-February-12 14:26,ta/d_dataset_t1/control_data,gru,0.08125476690189012,0.26894211769104004,0.6069664213638558,0.10796650201677936,0.3077526390552521,0.4886144243940645,0.1055298099716618,0.3033282160758972,0.5020451439467859,,,219.19139003753662,42.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
12,True,2020-February-12 14:30,ta/d_dataset_t1/control_data,bilstm,0.06006686749848415,0.2321183085441589,0.7055826655929658,0.11293742067469385,0.312644898891449,0.4668309140625625,0.1099057604735882,0.3084077537059784,0.4812337357467834,,,227.80123400688169,25.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
13,True,2020-February-12 14:35,ta/d_dataset_t1/control_data,bigru,0.06544764679050799,0.24254241585731506,0.6798433965250494,0.10937753015079203,0.3093710243701935,0.4830577622119716,0.10333366613347894,0.3004339933395386,0.5114177242734088,,,270.2782723903656,32.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
14,True,2020-February-12 14:40,ta/d_dataset_t1/control_data,cnn_bilstm,0.0636006598767725,0.2383681833744049,0.6905718656464275,0.1108693804725928,0.3085146248340607,0.4752003046895748,0.10514201401711057,0.301402747631073,0.5026176362663286,,,264.61351132392883,34.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
15,True,2020-February-12 14:45,ta/d_dataset_t1/control_data,cnn_bigru,0.0736979454551541,0.2570923268795013,0.6425475562676828,0.10891319905806106,0.30885085463523865,0.4849108278122041,0.10418644058132498,0.3026280105113983,0.5064386787995416,,,238.52637553215027,32.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
16,True,2020-February-12 14:46,ta/d_dataset_t1/control_data,FCNN,0.2216555576437477,0.4639143347740173,-0.01768092683635314,0.22221209964944186,0.4643462598323822,-0.01946092886613093,0.2232097149456929,0.4657370746135712,-0.022369124350821282,,,63.224037170410156,23.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
17,True,2020-February-12 14:50,ta/d_dataset_t1/control_data,lstm,0.08072487802709054,0.26753470301628113,0.6097929401298425,0.10487055432142904,0.30292612314224243,0.502598009988549,0.10133091275229718,0.29736328125,0.5203163443162091,,,225.6063230037689,41.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
18,True,2020-February-12 14:55,ta/d_dataset_t1/control_data,gru,0.09023963074507814,0.28314751386642456,0.5647389136755525,0.11305171730414858,0.3146017789840698,0.4659108773174933,0.10901318590498732,0.30913588404655457,0.4840798005226961,,,292.3756766319275,57.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
19,True,2020-February-12 15:00,ta/d_dataset_t1/control_data,bilstm,0.06970883994392503,0.2484016865491867,0.6607370620023881,0.10978695354517497,0.3083133101463318,0.4818931230610535,0.10528687195802404,0.3014359176158905,0.5041928500797159,,,243.8650870323181,27.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
20,True,2020-February-12 15:06,ta/d_dataset_t1/control_data,bigru,0.07639152974928536,0.2601543664932251,0.6291910655523206,0.10926683590045866,0.3077200949192047,0.4832594809286325,0.10388118262242617,0.30051884055137634,0.5090480943825879,,,335.2890703678131,40.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
