Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
20,True,2020-April-08 20:43,ta/d_dataset_3/prep_data_13,senet,0.017329755,0.130109862,0.930578563,0.020775354,0.141720249,0.915631194,0.021142595,0.142880085,0.914409963,0.131621107,0.951434766,617.9274986,22,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
20,True,2020-April-08 21:06,ta/d_dataset_3/prep_data_13,cnn_bilstm,0.014929936999999999,0.120532421,0.940342644,0.019730947,0.137814265,0.9201033209999999,0.019779093,0.13780568599999998,0.920156685,0.131621107,0.951434766,580.6359474999998,23,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
20,True,2020-April-08 21:24,ta/d_dataset_3/prep_data_13,cnn_bilstm,0.017798267,0.13172536199999998,0.928943402,0.020729468,0.141510787,0.9163599020000001,0.020313853,0.140108995,0.918045379,0.131621107,0.951434766,509.33520669999996,19,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
20,True,2020-April-08 21:36,ta/d_dataset_3/prep_data_13,cnn_bilstm,0.017706288,0.13143423699999998,0.929181939,0.020685774,0.141357019,0.916159871,0.020961531999999998,0.14225569300000002,0.915051211,0.131621107,0.951434766,439.4889481000001,18,4,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
20,True,2020-April-08 22:05,ta/d_dataset_3/prep_data_13,cnn_bilstm,0.021756091,0.145484878,0.912828868,0.021436458,0.14412777300000001,0.913562935,0.021133015,0.143019696,0.914644646,0.131621107,0.951434766,1021.5237529999999,35,5,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
21,True,2020-April-08 23:08,ta/d_dataset_3/prep_data_13,senet,0.019161255,0.136399672,0.9232024120000001,0.020741161,0.141341841,0.9159587440000001,0.021045807000000003,0.14230458099999999,0.914608395,0.151220635,0.912116588,924.9267962000001,29,5,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
21,True,2020-April-08 23:39,ta/d_dataset_3/prep_data_13,senet,0.02162758,0.145054826,0.913446577,0.021256842999999997,0.143473935,0.914315958,0.021138691,0.142986109,0.914668453,0.151220635,0.912116588,1188.630857,41,5,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
22,True,2020-April-09 00:34,ta/d_dataset_3/prep_data_13,senet,0.023506686000000002,0.151268271,0.90579175,0.022009479,0.14607738,0.9112742429999999,0.022079274,0.146235102,0.9109303470000001,0.144741759,0.9265490390000001,863.9290384999997,25,5,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
23,True,2020-April-09 07:29,ta/d_dataset_3/prep_data_13,senet,0.020795169,0.142300757,0.916707768,0.021053016,0.142797261,0.915045159,0.02120519,0.143235065,0.9142510309999999,0.129972413,0.950827706,1825.8921269999998,53,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
24,True,2020-April-09 08:22,ta/d_dataset_3/prep_data_13,senet,0.019986928,0.139529976,0.920168372,0.019681256,0.13820788,0.9206054920000001,0.020352768,0.140332949,0.917907377,0.122746825,0.9570114120000001,1879.390647,54,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
